"Week",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Week4","Expression","Female","Male",3,3,1.15934723940042,0.246314673491761,0.246314673491761,"ns"
"Week8","Expression","Female","Male",3,3,0.231869447880084,0.816639414940749,0.816639414940749,"ns"
"Week16","Expression","Female","Male",3,3,-1.54982604969517,0.121183272837463,0.121183272837463,"ns"
"Week30","Expression","Female","Male",3,3,0.258198889747161,0.796253414737639,0.796253414737639,"ns"
