"Week",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Week2","Expression","Female","Male",3,3,0.654653670707977,0.512690760261923,0.512690760261923,"ns"
"Week4","Expression","Female","Male",3,3,1.09108945117996,0.275233524074834,0.275233524074834,"ns"
"Week8","Expression","Female","Male",3,3,0.654653670707977,0.512690760261923,0.512690760261923,"ns"
"Week16","Expression","Female","Male",3,3,-0.654653670707977,0.512690760261923,0.512690760261923,"ns"
"Week30","Expression","Female","Male",3,3,-1.52752523165195,0.126630457947617,0.126630457947617,"ns"
