"Week",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Week2","Expression","Female","Male",3,3,0.654653670707977,0.512690760261923,0.512690760261923,"ns"
"Week4","Expression","Female","Male",3,3,1.15934723940042,0.246314673491761,0.246314673491761,"ns"
"Week8","Expression","Female","Male",3,3,1,0.317310507862914,0.317310507862914,"ns"
"Week16","Expression","Female","Male",3,3,-0.258198889747161,0.796253414737639,0.796253414737639,"ns"
"Week30","Expression","Female","Male",3,3,0.218217890235992,0.827259346562711,0.827259346562711,"ns"
