"Week",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Week2","Expression","Female","Male",3,3,-1.09108945117996,0.275233524074834,0.275233524074834,"ns"
"Week4","Expression","Female","Male",3,3,0.654653670707977,0.512690760261923,0.512690760261923,"ns"
"Week8","Expression","Female","Male",3,3,0.218217890235992,0.827259346562711,0.827259346562711,"ns"
"Week16","Expression","Female","Male",3,3,-1.96396101212393,0.0495346134356267,0.0495346134356267,"*"
"Week30","Expression","Female","Male",3,3,0.218217890235992,0.827259346562711,0.827259346562711,"ns"
