"Week",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Week2","Expression","Female","Male",3,3,-0.654653670707977,0.512690760261923,0.512690760261923,"ns"
"Week4","Expression","Female","Male",3,3,0.885614885540095,0.375825087488698,0.375825087488698,"ns"
"Week8","Expression","Female","Male",3,3,0.654653670707977,0.512690760261923,0.512690760261923,"ns"
"Week16","Expression","Female","Male",3,3,-1.96396101212393,0.0495346134356267,0.0495346134356267,"*"
"Week30","Expression","Female","Male",3,3,0.654653670707977,0.512690760261923,0.512690760261923,"ns"
