"Week",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Week2","Expression","Female","Male",3,3,-0.231869447880084,0.816639414940749,0.816639414940749,"ns"
"Week8","Expression","Female","Male",3,3,1,0.317310507862914,0.317310507862914,"ns"
"Week30","Expression","Female","Male",3,3,-1,0.317310507862914,0.317310507862914,"ns"
