"Week",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Week2","Expression","Female","Male",3,3,-0.231869447880084,0.816639414940749,0.816639414940749,"ns"
"Week16","Expression","Female","Male",3,3,-2.08682503092076,0.0369039536137182,0.0369039536137182,"*"
